angDist,RA,Dec,RAhms,Decdms,HD,BD,CD,CPD,PP,EPP,PA,EPA,PA_G,GL,GB,Ebv,DPA,Idcat,Vmag,dist,SpType,polRefs,distCat,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,rest,b_rest,B_rest
6.562399,71.01503999999998,-76.3067,71d00m54.144s,-76d18m24.12s,31081.0,-999.9,-999.9,-76.00294,0.02,0.011,112.5,15.4,178.9,288.9519,-33.6544,0.0,-0.6,3,7.4,72.0,-999,1.0E11,120,71.0208642480648,-76.3055092548388,0.001,0.001,0,4625046905772587776,71.02293725820,0.0244,-76.30509029197,0.0289,10.8062,0.0268,113.986,0.045,97.310,0.062,0,1.70118e+07,3.83503e+03,7.611491,9.58088e+06,1.73712e+04,7.897875,1.04125e+07,2.03665e+04,7.218029,0.679846,-0.78,0.18,13,6205.25,,,2.06,5.657,92.293039341389300,92.063388096080000,92.523818727245200
1.120554,174.31642499999998,-75.8965,174d18m59.13s,-75d53m47.4s,101132.0,-999.9,-999.9,-75.00744,0.015,0.008,167.6,15.4,150.8,298.3573,-13.6878,-0.01,0.0,1,5.6,37.0,,1.0E19,130,174.3151613719001,-75.8965451905212,0.011,0.010,90,5225025597617811968,174.31288727171,0.3708,-75.89654915130,0.3672,24.8604,0.4000,-128.704,0.703,-0.917,0.656,0,1.15205e+08,1.03247e+05,5.534688,6.92136e+07,7.41476e+04,5.750909,6.33992e+07,1.84700e+05,5.256710,0.494199,-15.27,3.83,13,6809.00,0.9237,0.4825,1.93,7.217,40.198047522780800,39.556972945231600,40.859860501206000
2.692767,10.338284999999999,-75.8134,10d20m17.826s,-75d48m48.24s,4040.0,-999.9,-999.9,-76.00072,0.297,0.017,83.3,1.6,80.5,303.7541,-41.2987,-99.9,-0.2,3,8.8,-999.9,-999,1.0E11,30,10.3402552866466,-75.8128290341884,0.001,0.001,90,4684595325957913984,10.34105035695,0.0335,-75.81282944219,0.0246,4.7429,0.0327,45.259,0.059,-0.094,0.052,0,7.50078e+06,2.50011e+03,8.500600,4.34731e+06,5.27389e+03,8.755837,4.45376e+06,7.10636e+03,8.140104,0.615733,,,0,6235.32,,,3.08,12.939,209.574307680774000,208.137011490366000,211.031233745477000
0.099446,65.31041999999998,-75.7285,65d18m37.512s,-75d43m42.6s,28457.0,-999.9,-76.00167,-76.0027,0.97,0.041,34.8,1.2,95.5,289.1035,-35.1431,-99.9,-0.5,2,8.3,-999.9,-999,1.0E11,30,65.3104835257028,-75.7284776102900,0.001,0.001,0,4628314001493746560,65.31059252047,0.0287,-75.72842413452,0.0255,2.7970,0.0280,6.241,0.053,12.420,0.055,0,5.32792e+06,1.74109e+03,8.871971,3.45455e+06,6.83454e+03,9.005408,2.70771e+06,3.68948e+03,8.680413,0.324995,,,0,7581.50,0.6150,0.3400,3.01,26.995,353.909103610912000,350.411851106226000,357.475593849798000
0.575903,319.5675,-75.3466,319d34m03s,-75d20m47.76s,201906.0,-999.9,-999.9,-75.01697,0.08,0.035,169.3,12.3,107.8,317.2932,-35.1506,0.0,0.0,1,6.6,125.9,A0,1.0E9,10,319.5677011108651,-75.3467550613975,0.002,0.001,0,6368887298207127168,319.56803947586,0.0374,-75.34691339973,0.0540,9.2265,0.0449,19.880,0.078,-36.775,0.102,0,4.34290e+07,1.28255e+04,6.593916,3.09834e+07,4.08738e+04,6.623567,1.83434e+07,5.51433e+04,6.603219,0.020348,,,0,9320.00,0.1250,0.0580,,,108.048783092193000,107.523279477742000,108.579356282381000
1.861185,64.06083,-75.3447,64d03m38.988s,-75d20m40.92s,27883.0,-999.9,-999.9,-75.00265,0.608,0.008,35.4,0.4,94.9,288.8963,-35.6079,-99.9,-0.5,3,8.2,-999.9,-999,1.0E11,30,64.0610751365504,-75.3441904122281,0.001,0.001,90,4628383893498184704,64.06132278504,0.0405,-75.34402440187,0.0341,3.6347,0.0368,14.553,0.073,38.557,0.068,0,8.45625e+06,4.46169e+03,8.370420,5.02442e+06,8.73337e+03,8.598675,4.85054e+06,7.63622e+03,8.047444,0.551230,4.31,0.75,11,6677.15,,,3.72,24.761,272.992678021585000,270.256011600110000,275.784324348818000
0.498380,4.569089999999999,-75.2202,4d34m08.724s,-75d13m12.72s,1484.0,-999.9,-75.00007,-75.0002,0.014,0.017,24.7,31.3,14.9,305.7568,-41.7256,-99.9,-0.2,2,8.4,-999.9,-999,1.0E11,30,4.5692569954905,-75.2203313060959,0.001,0.001,0,4685296161539510400,4.56952999917,0.0244,-75.22044229499,0.0231,9.2758,0.0270,16.175,0.049,-25.778,0.051,1,5.97029e+06,1.85249e+03,8.748377,3.50019e+06,3.89938e+03,8.991159,3.57383e+06,7.28071e+03,8.379085,0.612075,28.71,0.24,9,6533.54,0.1690,0.0830,1.28,2.684,107.473285758401000,107.159899128898000,107.788477990856000
0.240145,176.64565499999998,-75.1103,176d38m44.358s,-75d06m37.08s,102402.0,-999.9,-74.00636,-74.00846,0.035,0.047,142.0,33.7,127.3,298.7129,-12.7724,0.01,0.0,2,8.7,109.0,,1.0E19,130,176.6455541230284,-75.1103596215410,0.001,0.001,90,5225002576593767168,176.64533955327,0.0267,-75.11045348740,0.0228,7.6118,0.0255,-12.806,0.053,-21.801,0.045,1,6.59871e+06,2.23569e+03,8.639718,3.88868e+06,5.22510e+03,8.876884,3.85158e+06,6.29774e+03,8.297823,0.579061,15.70,0.54,8,6462.00,0.7200,0.3687,1.67,4.407,130.878885971056000,130.440115668114000,131.320565264274000
1.268574,12.146325,-74.9233,12d08m46.77s,-74d55m23.88s,4815.0,-999.9,-999.9,-75.00064,0.09,0.035,136.2,11.0,135.6,303.1823,-42.2035,-0.1,0.0,1,5.1,104.7,K5III,1.0E9,10,12.1475781315436,-74.9234355906183,0.004,0.003,90,4684720292326084608,12.14977208513,0.1104,-74.92358248042,0.1018,15.2024,0.1123,132.543,0.243,-34.114,0.199,0,2.81830e+08,8.42628e+05,4.563397,9.91244e+07,2.82112e+05,5.360937,2.31276e+08,1.07983e+06,3.851593,1.509344,-10.67,0.14,13,4220.00,0.5410,0.2460,15.71,70.484,65.660488301410000,65.176167355150500,66.151930893280900
0.828892,5.25645,-74.8798,5d15m23.22s,-74d52m47.28s,1775.0,-999.9,-999.9,-75.00027,0.053,0.013,175.7,7.0,166.7,305.5975,-42.0907,-99.9,0.0,3,8.4,-999.9,-999,1.0E11,30,5.2561086710188,-74.8795865525337,0.002,0.002,90,4685316777385860992,5.25588370703,0.0619,-74.87972046961,0.0539,6.2834,0.0605,-13.629,0.150,-31.103,0.106,0,5.15194e+06,1.57215e+03,8.908440,3.07187e+06,4.70232e+03,9.132880,2.97657e+06,3.70668e+03,8.577629,0.555251,63.83,1.00,7,6499.23,0.8545,0.4022,1.77,5.048,158.444198937516000,156.927234195383000,159.990244271901000
